,precision,recall,f1-score,support
Albania,0.5714285714285714,0.6557377049180327,0.6106870229007634,61.0
Argentina,0.4153846153846154,0.4576271186440678,0.43548387096774194,59.0
Australia,0.6818181818181818,0.5,0.5769230769230769,60.0
Austria,0.3050847457627119,0.3,0.3025210084033613,60.0
Bangladesh,0.746268656716418,0.847457627118644,0.7936507936507936,59.0
Belgium,0.5,0.3,0.375,60.0
Bhutan,0.6842105263157895,0.8666666666666667,0.7647058823529411,60.0
Bolivia,0.703125,0.75,0.7258064516129032,60.0
Botswana,0.746268656716418,0.8333333333333334,0.7874015748031497,60.0
Brazil,0.5238095238095238,0.36666666666666664,0.43137254901960786,60.0
Bulgaria,0.3670886075949367,0.48333333333333334,0.4172661870503597,60.0
Cambodia,0.6071428571428571,0.5666666666666667,0.5862068965517241,60.0
Canada,0.3880597014925373,0.43333333333333335,0.4094488188976378,60.0
Chile,0.5535714285714286,0.5166666666666667,0.5344827586206896,60.0
Colombia,0.46774193548387094,0.48333333333333334,0.47540983606557374,60.0
Croatia,0.26582278481012656,0.35,0.302158273381295,60.0
Denmark,0.4473684210526316,0.2833333333333333,0.3469387755102041,60.0
DominicanRepublic,0.6865671641791045,0.7666666666666667,0.7244094488188977,60.0
Ecuador,0.5131578947368421,0.65,0.5735294117647058,60.0
Estonia,0.352112676056338,0.4166666666666667,0.3816793893129771,60.0
Eswatini,0.7301587301587301,0.7666666666666667,0.7479674796747967,60.0
Finland,0.5254237288135594,0.5166666666666667,0.5210084033613446,60.0
France,0.3333333333333333,0.23333333333333334,0.27450980392156865,60.0
Germany,0.42857142857142855,0.3,0.35294117647058826,60.0
Ghana,0.7719298245614035,0.7333333333333333,0.7521367521367521,60.0
Greece,0.390625,0.4166666666666667,0.4032258064516129,60.0
Guatemala,0.7142857142857143,0.5833333333333334,0.6422018348623854,60.0
Hungary,0.423728813559322,0.4166666666666667,0.42016806722689076,60.0
Iceland,0.873015873015873,0.9166666666666666,0.8943089430894309,60.0
India,0.8727272727272727,0.8,0.8347826086956521,60.0
Indonesia,0.2916666666666667,0.35,0.3181818181818182,60.0
Ireland,0.4691358024691358,0.6333333333333333,0.5390070921985816,60.0
Israel,0.6615384615384615,0.7166666666666667,0.688,60.0
Italy,0.2807017543859649,0.26666666666666666,0.27350427350427353,60.0
Japan,0.6142857142857143,0.7166666666666667,0.6615384615384615,60.0
Jordan,0.7419354838709677,0.7666666666666667,0.7540983606557377,60.0
Kazakhstan,0.7719298245614035,0.7333333333333333,0.7521367521367521,60.0
Kenya,0.66,0.55,0.6,60.0
Kyrgyzstan,0.7464788732394366,0.8833333333333333,0.8091603053435115,60.0
Laos,0.7419354838709677,0.7666666666666667,0.7540983606557377,60.0
Latvia,0.35714285714285715,0.3333333333333333,0.3448275862068966,60.0
Lebanon,0.9206349206349206,0.9666666666666667,0.943089430894309,60.0
Lesotho,0.8103448275862069,0.7833333333333333,0.7966101694915254,60.0
Lithuania,0.5,0.48333333333333334,0.4915254237288136,60.0
Luxembourg,0.6829268292682927,0.4666666666666667,0.5544554455445545,60.0
Madagascar,0.7183098591549296,0.85,0.7786259541984732,60.0
Malaysia,0.5666666666666667,0.5666666666666667,0.5666666666666667,60.0
Malta,0.8148148148148148,0.7333333333333333,0.7719298245614035,60.0
Mexico,0.43243243243243246,0.26666666666666666,0.32989690721649484,60.0
Mongolia,0.8095238095238095,0.85,0.8292682926829268,60.0
Montenegro,0.5892857142857143,0.55,0.5689655172413793,60.0
Netherlands,0.39805825242718446,0.6833333333333333,0.5030674846625767,60.0
NewZealand,0.5172413793103449,0.75,0.6122448979591837,60.0
Nigeria,0.7454545454545455,0.6833333333333333,0.7130434782608696,60.0
NorthMacedonia,0.475,0.6333333333333333,0.5428571428571428,60.0
Norway,0.5666666666666667,0.5666666666666667,0.5666666666666667,60.0
Oman,0.847457627118644,0.8333333333333334,0.8403361344537815,60.0
Panama,0.8181818181818182,0.75,0.782608695652174,60.0
Peru,0.6206896551724138,0.6,0.6101694915254238,60.0
Philippines,0.6206896551724138,0.3,0.4044943820224719,60.0
Poland,0.2777777777777778,0.3333333333333333,0.30303030303030304,60.0
Portugal,0.5423728813559322,0.5333333333333333,0.5378151260504201,60.0
Qatar,0.9491525423728814,0.9333333333333333,0.9411764705882353,60.0
Romania,0.5102040816326531,0.4166666666666667,0.45871559633027525,60.0
